###############
#    GaPSE    #
############### 
#
# This is the sum of all the GR effects TPCFs without window F:
# LD (16), GNC (25), GNCxLD (20), LDxGNC (20)
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../test/datatest/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntF_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.0 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - CosmoParams about the Integrated Window Function F: 
#	 ss_step = 50 	 N = 1000 	 rtol = 0.05 	 
#	 llim = 0.0 	 atol = 0.0 	 rlim = Inf 	 
#	 ss_stop = 0.0 	 trap = true 	 ss_start = 0.0 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172356 
# 	 comoving s_min = 2312.577431755554 Mpc/h_0
# 	 comoving s_max = 3054.4830200675647 Mpc/h_0
# 	 comoving s_eff = 2725.87720083235 Mpc/h_0
# 	 Volume of the survey V_survey = 3.378305693005294e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
# s [Mpc/h_0] 	 xi_ALLSUMMED_noF
11.14348750571807 	 0.1510413517493984
11.33987428907403 	 0.14659017998251272
11.539722086646336 	 0.14223417106143366
11.743091893473444 	 0.13796995484169142
11.950045779537328 	 0.13379504161907022
12.160646908707667 	 0.13177371087729403
12.374959558019944 	 0.12596332447534073
12.59304913729327 	 0.12180925420257109
12.814982209093962 	 0.11798843246460732
13.040826509050902 	 0.1142613244597309
13.270650966529 	 0.10013536811379513
13.504525725666925 	 0.10708077950929015
13.742522166785617 	 0.10363266422150104
13.984712928174115 	 0.10027994993540021
14.231171928259263 	 0.09702298698262071
14.481974388166215 	 0.0938610101039964
14.73719685467645 	 0.09079309337492773
14.996917223590433 	 0.08781762500198824
15.261214763501995 	 0.08418831613739107
15.530170139991698 	 0.07096504331503925
15.803865440246554 	 0.07939298936187898
16.08238419811368 	 0.0767391582600924
16.365811419595428 	 0.07415582752980349
16.65423360879386 	 0.07163834934897324
16.947738794312446 	 0.06918349198844832
17.246416556123023 	 0.06678896417124773
17.550358052906326 	 0.06445372550548921
17.859656049874243 	 0.06217767995917024
18.174404947082486 	 0.059964565752295605
18.49470080824217 	 0.13107194573607667
18.8206413900392 	 0.05571556940292511
19.15232617197028 	 0.053689951504935406
19.489856386704883 	 0.05172985666998282
19.83333505098216 	 0.04983527466101792
20.182866997052432 	 0.04800508439422832
20.53855890467278 	 0.04623659620388578
20.900519333666473 	 0.04283012191006021
21.26885875705629 	 0.04287000211934789
21.64368959478166 	 0.04132162226176426
22.025126248010096 	 0.03915710067733701
22.413285134053275 	 0.03818165038643053
22.808284721898477 	 0.03670469782265382
23.21024556836616 	 0.03544198058222124
23.619290354904884 	 0.033875568760593326
24.035543925034524 	 0.03253052026645999
24.459133322449496 	 0.031226368019896138
24.89018782979343 	 0.02994956655295976
25.32883900811714 	 0.028758533029066245
25.775220737032132 	 0.027528064691919273
26.229469255571605 	 0.02648008267962258
26.69172320377162 	 0.025426161157944365
27.162123664985092 	 0.024357697872598068
27.640814208941475 	 0.023333426036251007
28.12794093556528 	 0.02231664053842083
