###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
350.0	 0.25 	 5.0273696996918565e8
350.0	 0.3 	 4.3587425874276143e8
350.0	 0.35 	 3.956618038822706e8
350.0	 0.4 	 3.5833970800395495e8
350.0	 0.45 	 3.0431519241568655e8
350.0	 0.5 	 2.707809569352159e8
350.0	 0.55 	 2.5766384430258444e8
350.0	 0.6 	 2.2852993957618964e8
350.0	 0.65 	 2.0157946929145712e8
350.0	 0.7 	 1.7527296145049778e8
350.0	 0.75 	 1.6509664585435215e8
350.0	 0.8 	 1.420369503727281e8
350.0	 0.85 	 1.3236457841879548e8
350.0	 0.9 	 1.2370054767678984e8
350.0	 0.91 	 1.1275305004860881e8
350.0	 0.92 	 1.1359877826981771e8
350.0	 0.93 	 1.139989670213106e8
350.0	 0.94 	 1.1518644218712622e8
350.0	 0.95 	 1.0448167697492658e8
350.0	 0.96 	 1.0505968658601503e8
350.0	 0.97 	 1.0627639757441899e8
350.0	 0.98 	 1.0841258874450067e8
350.0	 0.99 	 9.754734011721787e7
350.0	 1.0 	 0.0
400.0	 -1.0 	 0.0
400.0	 -0.99 	 4.4556523287898403e8
400.0	 -0.98 	 5.498270166380394e8
400.0	 -0.97 	 6.807816716196474e8
400.0	 -0.96 	 8.435776975072349e8
400.0	 -0.95 	 9.567760729855487e8
400.0	 -0.94 	 1.1180899157764165e9
400.0	 -0.93 	 1.3414755409531527e9
400.0	 -0.92 	 1.453411169769686e9
400.0	 -0.91 	 1.4577925820801868e9
400.0	 -0.9 	 1.4634478859121954e9
400.0	 -0.85 	 1.4861315188622653e9
400.0	 -0.8 	 1.508003669755291e9
400.0	 -0.75 	 1.5287537682109034e9
400.0	 -0.7 	 1.553127092800048e9
400.0	 -0.65 	 1.5770092756639569e9
400.0	 -0.6 	 1.5950441087357483e9
400.0	 -0.55 	 1.6143329825555942e9
400.0	 -0.5 	 1.6347198855369794e9
400.0	 -0.45 	 1.659920513039441e9
400.0	 -0.4 	 1.6758390679652472e9
400.0	 -0.35 	 1.693575284763735e9
400.0	 -0.3 	 1.4920493109424572e9
400.0	 -0.25 	 1.263018314802259e9
400.0	 -0.2 	 1.0994754545421867e9
400.0	 -0.15 	 9.521046336159996e8
400.0	 -0.1 	 8.175079974918144e8
400.0	 -0.05 	 6.960774610891994e8
400.0	 0.0 	 6.154669771111044e8
400.0	 0.05 	 5.1490952245226467e8
400.0	 0.1 	 4.487599611207741e8
400.0	 0.15 	 3.874339492060581e8
400.0	 0.2 	 3.3181669003882027e8
400.0	 0.25 	 2.8123415465698105e8
400.0	 0.3 	 2.517531973529398e8
400.0	 0.35 	 2.0860219607806894e8
400.0	 0.4 	 1.8354805208007634e8
400.0	 0.45 	 1.6027551832459378e8
400.0	 0.5 	 1.3773067194855553e8
400.0	 0.55 	 1.1751141041066393e8
400.0	 0.6 	 9.880160073674618e7
400.0	 0.65 	 9.10052321808247e7
400.0	 0.7 	 7.383136764629188e7
400.0	 0.75 	 6.69588388858913e7
400.0	 0.8 	 5.20421056186136e7
400.0	 0.85 	 4.5617743137790166e7
400.0	 0.9 	 3.9578877573837765e7
400.0	 0.91 	 3.286950071541097e7
400.0	 0.92 	 3.314360746701223e7
400.0	 0.93 	 3.32810076608725e7
400.0	 0.94 	 3.3650115187288895e7
400.0	 0.95 	 3.3809650218490586e7
