# Integrands of the sigma_i: q^(2-i) * P(q) / (2 pi^2)
# Input Power Spectrum: WideA_ZA_pk.dat
# q 	 integrand_i=0 	 integrand_i=1 	 integrand_i=2 	 integrand_i=3 	 integrand_i=4
0.0001908542144006686 	 1.4929744212610827e-6 	 0.00782259079763791 	 40.987257327289626 	 214756.88894793432 	 1.1252404858982353e9
0.00020336240846866724 	 1.8013721709398973e-6 	 0.008857940779244072 	 43.55741479433179 	 214186.16706166143 	 1.053223989008086e9
0.0002166903639411183 	 2.173439470144827e-6 	 0.010030162073729407 	 46.287993112859056 	 213613.5279436652 	 9.85800771471826e8
0.00023089180630041925 	 2.622308454689687e-6 	 0.01135730408413772 	 49.18885717997477 	 213038.55675144173 	 9.226769895604345e8
0.00024602398208697777 	 3.1638153099225756e-6 	 0.012859784168537117 	 52.27044965067979 	 212460.79023385784 	 8.635775603320891e8
0.0002621478896621356 	 3.817055511278124e-6 	 0.01456069517171267 	 55.543819904401865 	 211879.7140651732 	 8.082449732410603e8
0.0002793285250948253 	 4.605052476403807e-6 	 0.01648615183444119 	 59.02065257690579 	 211294.75608289454 	 7.564381618782581e8
0.00029763514416313193 	 5.5555627251799445e-6 	 0.018665681234656135 	 62.71329713814169 	 210705.28251787674 	 7.079314612201525e8
0.0003171415415268999 	 6.702045132968217e-6 	 0.021132662409032756 	 66.63479753326571 	 210110.59356162514 	 6.625136289305815e8
0.00033792634819674314 	 8.084827343576108e-6 	 0.023924820857322032 	 70.79892108144473 	 209509.91675921375 	 6.19986922822708e8
0.000360073348498562 	 9.75250925004458e-6 	 0.027084785060351467 	 75.22018825689243 	 208902.40438662408 	 5.801662501757147e8
0.0003836718178112645 	 1.1763650979799967e-5 	 0.03066071166474555 	 79.91390099918192 	 208287.12792893508 	 5.428783618175352e8
0.00040881688243912936 	 1.4188802528475835e-5 	 0.034706987744295204 	 84.8961704742291 	 207663.0739115078 	 5.079611014900484e8
0.0004356099030694608 	 1.711294345762064e-5 	 0.039285019318975115 	 90.18394449290301 	 207029.14203151758 	 4.752627076949291e8
0.00046415888336127773 	 2.0638414079926195e-5 	 0.044464115241035475 	 95.79503233686225 	 206384.14079926218 	 4.446411524103552e8
0.0004945789053120645 	 2.488843622090813e-5 	 0.05032247828120423 	 101.74812904616756 	 205726.78687532686 	 4.1596352910668397e8
0.0005269925931575656 	 3.0011340111851413e-5 	 0.05694831483690002 	 108.06283727003549 	 205055.70414672937 	 3.891054766407689e8
0.0005615306076746273 	 3.6185636639969495e-5 	 0.0644410761326422 	 114.75968585132205 	 204369.42222358478 	 3.6395063676031065e8
0.0005983321728796288 	 4.3626101724146907e-5 	 0.07291284624422747 	 121.86014650242771 	 203666.37801865832 	 3.403901499036247e8
0.0006375456372456507 	 5.259107016578503e-5 	 0.08248989106566709 	 129.38664504402087 	 202944.91481896426 	 3.183221764260434e8
0.0006793290717006702 	 6.339117494659304e-5 	 0.09331438560092244 	 137.3625676983233 	 202203.28176805712 	 2.9765144786436146e8
0.0007238509068173255 	 7.639981194021077e-5 	 0.10554633726457623 	 145.81226088207748 	 201439.6328149871 	 2.7828884500634235e8
0.0007712906117627993 	 9.206566072220123e-5 	 0.11936572197058565 	 154.76102023045897 	 200652.02126180392 	 2.6015099652673063e8
0.0008218394177456806 	 0.00011092765520253489 	 0.13497485373336235 	 164.2350693078225 	 199838.39392654353 	 2.431599040049741e8
0.0008757010888760508 	 0.0001336328662150778 	 0.1526010049691654 	 174.2615224619927 	 198996.58076896393 	 2.272425868790149e8
0.0009330927435461663 	 0.00016095784171096564 	 0.17249929637139225 	 184.86832907500533 	 198124.2811646179 	 2.123307490439351e8
0.0009942457296427418 	 0.00019383404826636745 	 0.1949558770908848 	 196.08419858231375 	 197219.050317442 	 1.9836047009053576e8
0.001059406557118851 	 0.00023337816571668822 	 0.22029141140241817 	 207.938500967485 	 196278.2838846986 	 1.852719171556712e8
0.0011288378916846896 	 0.000280928122062992 	 0.24886489382787455 	 220.46114474104508 	 195299.2067018822 	 1.730090814106316e8
0.0012028196136227775 	 0.0003380859065696869 	 0.28107781311563795 	 233.6824324547373 	 194278.86759420906 	 1.6151953742179152e8
0.0012816499459957584 	 0.0004067683708622899 	 0.3173786821691451 	 247.63289161812637 	 193214.1396266605 	 1.5075422133033815e8
0.001365646656794611 	 0.0004892674352647334 	 0.3582679552067454 	 262.34308371365773 	 192101.72880986542 	 1.406672273930349e8
0.0014551483398731937 	 0.0005883213300484665 	 0.4043033372801942 	 277.8433828371247 	 190938.18494225605 	 1.3121561541890293e8
0.0015505157798326253 	 0.0007071987494592973 	 0.4561054835157098 	 294.1637160022617 	 189719.91116015348 	 1.2235922628316194e8
0.0016521334063573701 	 0.0008497980664629142 	 0.5143640720494552 	 311.3332555774216 	 188443.1695282104 	 1.1406050431707604e8
0.0017604108438655525 	 0.0010207640531921408 	 0.5798442203132097 	 329.38005485127195 	 187104.081981233 	 1.0628432711217876e8
0.0018757845627201612 	 0.0012256249181680048 	 0.6533932214425893 	 348.3306315812056 	 185698.63432294983 	 9.899784762790655e7
0.0019987196386572507 	 0.0014709528759269928 	 0.7359475773776786 	 368.2095092997093 	 184222.6904555129 	 9.217035090487958e7
0.0021297116275234783 	 0.0017645519531236267 	 0.8285403198814877 	 389.0387361245478 	 182672.02521542273 	 8.577312667811356e7
0.002269288562880081 	 0.002115676228655706 	 0.9323081529880812 	 410.8371972777393 	 181042.28964002835 	 7.977931612639754e7
0.0024180130845257207 	 0.0025352856472085823 	 1.0484995566952706 	 433.6202989988897 	 179329.1780651972 	 7.416385759565547e7
0.002576484706518377 	 0.0030363416432230782 	 1.1784823079063058 	 457.3993025942691 	 177528.43688032447 	 6.890335363962628e7
0.0027453422338387145 	 0.0036341471174289133 	 1.3237501221650658 	 482.1803656566755 	 175635.79495240556 	 6.3975919937245965e7
0.0029252663374366447 	 0.0043467403715541555 	 1.485929782162373 	 507.9639290090983 	 173647.07018582703 	 5.936111456367104e7
0.003116982298041147 	 0.00519534621050252 	 1.6667872043314174 	 534.7438788404098 	 171558.20203934656 	 5.503983841908936e7
0.0033212629297937482 	 0.0062048908140497055 	 1.868232339688635 	 562.5066064265658 	 169365.27408912417 	 5.099423853794129e7
0.003538931695490988 	 0.007404586416812388 	 2.0923225012358095 	 591.2299759562109 	 167064.53439310705 	 4.720761765647152e7
0.0037708660259934555 	 0.008828591667084953 	 2.3412636795440145 	 620.8822226526056 	 164652.4215850471 	 4.3664352021540865e7
0.004018000857182091 	 0.010516752502475718 	 2.6174092232153825 	 651.4207727300056 	 162125.59326999765 	 4.034981550096029e7
0.004281332398719396 	 0.012515428434921535 	 2.92325548903072 	 682.7910605364596 	 159480.97389978214 	 3.7250313464912236e7
0.004561922149807464 	 0.014878408095238941 	 3.261434019838959 	 714.9254004644968 	 156715.82657206684 	 3.435302519984499e7
0.004860901178130631 	 0.017667913874617438 	 3.6346992516749808 	 747.7418524835731 	 153827.8243235412 	 3.1645947672340702e7
0.005179474679231213 	 0.02095569183996754 	 4.045910664260258 	 781.1430530751799 	 150815.11185051774 	 2.911783939310679e7
0.00551892683469738 	 0.024824173836195517 	 4.498007416972163 	 815.0148664217256 	 147676.33107540832 	 2.6758160689315584e7
0.005880625988746757 	 0.02936769051030564 	 4.99397352705376 	 849.2248166454206 	 144410.61517438933 	 2.4557014074817095e7
0.006266030164072656 	 0.03469370953856108 	 5.536792615120707 	 883.6204854018808 	 141017.59204228994 	 2.250509307325684e7
0.006676692939187563 	 0.040924066358852755 	 6.129391711075527 	 918.0280966794569 	 137497.42650156454 	 2.0593642354667813e7
0.007114269710955738 	 0.04819614378911793 	 6.7745736030920325 	 952.2514436948342 	 133850.90562821913 	 1.88144266476281e7
0.007580524367559262 	 0.05666392277639221 	 7.4749344542555125 	 986.0708958663046 	 130079.51007798089 	 1.715969816476736e7
0.00807733639879671 	 0.06649877590321719 	 8.232760481923668 	 1019.2419970462182 	 126185.40899176315 	 1.5622155963513063e7
0.008606708472376167 	 0.07788987754342369 	 9.049903083555892 	 1051.494088896143 	 122171.4540780586 	 1.4194910222668333e7
