###############
#    GaPSE    #
############### 
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../data/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntegrF_REFERENCE_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.5 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172358 
# 	 comoving s_min = 2312.5774317555542 Mpc/h_0
# 	 comoving s_max = 3054.483020067565 Mpc/h_0
# 	 comoving s_eff = 2725.877200832351 Mpc/h_0
# 	 Volume of the survey V_survey = 3.3783056930052956e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 σ_4 = 3.415930015488999e6
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
#
#
#
# LIST = auto_newton + auto_lensing + lensing_newton + newton_lensing + doppler_newton + newton_doppler + doppler_lensing + lensing_doppler + newton_integratedgp + integratedgp_newton
# k 	 P_0^{ppg} 	 P_0^{GNCsum} 	 P_0^{S} 	 P_0^{GNCsum - LIST}
0.00031793801281949067 	 14916.327854295982 	 16154.882092105852 	  345.64868170735167 	 767.4244955997232 
0.00032354118001577176 	 14917.757783048155 	 16155.8357871204 	  345.1712041677119 	 765.7203080038184 
0.0003292430943934643 	 14919.234322261495 	 16156.820123635593 	  344.6784383633318 	 763.9628268906329 
0.0003350454962193661 	 14920.759076761333 	 16157.836188738876 	  344.16995654272716 	 762.1506515741381 
0.0003409501564297949 	 14922.333585341481 	 16158.885018403202 	  343.6453220519228 	 760.2823634400206 
0.00034695887717108877 	 14923.958962130586 	 16159.967206144465 	  343.10409174803004 	 758.3565302175235 
0.0003530734923496371 	 14925.637029069503 	 16161.084024303143 	  342.5458147990478 	 756.3717029950661 
0.0003592958681916006 	 14927.36918566605 	 16162.236333503477 	  341.9700334519802 	 754.3264189638832 
0.0003656279038124981 	 14929.156802936443 	 16163.424938759556 	  341.3762833783118 	 752.2192083636286 
0.000372071531796832 	 14931.001841020116 	 16164.651215250706 	  340.76409410800454 	 750.0485859883389 
0.00037862871878792506 	 14932.90553583119 	 16165.915825700526 	  340.1329886098188 	 747.8130653332558 
0.00038530146608815717 	 14934.869707764585 	 16167.219973345425 	  339.4824853923188 	 745.5111522667922 
0.00039209181026977566 	 14936.89612103626 	 16168.564814805799 	  338.81209679818505 	 743.1413503893046 
0.00039900182379647294 	 14938.986201382604 	 16169.951151808786 	  338.12133158071225 	 740.7021663479464 
0.0004060336156559195 	 14941.141957058442 	 16171.380343163599 	  337.4096941337514 	 738.1921088522641 
0.0004131893320034396 	 14943.365047357956 	 16172.853405716078 	  336.67668562004644 	 735.6096930833245 
0.0004204711568170375 	 14945.65711919456 	 16174.371320934804 	  335.92180470428656 	 732.9534487328872 
0.0004278813125639603 	 14948.020295222263 	 16175.93552952491 	  335.1445483560628 	 730.2219143488426 
0.0004354220608790135 	 14950.456108710554 	 16177.546892042603 	  334.3444119860632 	 727.4136523437274 
0.0004430957032548295 	 14952.966573420681 	 16179.206713858644 	  333.52089181703093 	 724.5272452396317 
0.00045090458174429777 	 14955.553650742762 	 16180.916256084975 	  332.67348385154946 	 721.5613030134903 
