# The input matter Power Spectrum as InputPS returns it,
# together with its two asymptotic power laws.
# Input file: WideA_ZA_pk.dat, tabulated on [2.056154633223e-7, 20.22821679002]
# q 	 P(q) 	 left_powerlaw 	 right_powerlaw
1.6542810872429736e-7 	 0.9306058978982319 	 0.9306058978982319 	 7.455311484583141e19
1.67730602174008e-7 	 0.9430368876672175 	 0.9430368876672175 	 7.188049490152571e19
1.7006514263269943e-7 	 0.9556339300122568 	 0.9556339300122568 	 6.93036844667418e19
1.724321761432408e-7 	 0.9683992430558424 	 0.9683992430558424 	 6.681924891092763e19
1.7483215495670136e-7 	 0.9813350745500428 	 0.9813350745500428 	 6.44238767300045e19
1.7726553761875845e-7 	 0.9944437022722931 	 0.9944437022722931 	 6.211437513246356e19
1.7973278905730844e-7 	 1.0077274344264717 	 1.0077274344264717 	 5.988766578369395e19
1.8223438067129692e-7 	 1.0211886100493364 	 1.0211886100493364 	 5.774078070287075e19
1.8477079042078533e-7 	 1.034829599422387 	 1.034829599422387 	 5.5670858306933424e19
1.8734250291827115e-7 	 1.0486528044892327 	 1.0486528044892327 	 5.367513959638183e19
1.8995000952127907e-7 	 1.0626606592785317 	 1.0626606592785317 	 5.175096447780591e19
1.9259380842624098e-7 	 1.0768556303325834 	 1.0768556303325834 	 4.989576821824718e19
1.952744047636826e-7 	 1.0912402171416418 	 1.0912402171416418 	 4.81070780266663e19
1.9799231069473484e-7 	 1.1058169525840351 	 1.1058169525840351 	 4.6382509757959995e19
2.007480455089886e-7 	 1.1205884033721607 	 1.1205884033721607 	 4.471976473513404e19
2.035421357237114e-7 	 1.135557170504439 	 1.135557170504439 	 4.311662668539688e19
2.0637511518444514e-7 	 1.150725889723305 	 1.150725889723305 	 4.157095878608953e19
2.092475251670033e-7 	 1.166097231979315 	 1.166097231979315 	 4.008070081651514e19
2.1215991448089038e-7 	 1.1816739039014639 	 1.1816739039014639 	 3.8643866411869766e19
2.151128395741558e-7 	 1.1974586482737617 	 1.1974586482737617 	 3.725854041561834e19
2.1810686463971228e-7 	 1.2134542445182017 	 1.2134542445182017 	 3.5922876326781567e19
2.2114256172313122e-7 	 1.2296635091841641 	 1.2296635091841641 	 3.4635093838735045e19
2.2422051083193922e-7 	 1.2460892964443637 	 1.2460892964443637 	 3.3393476466238652e19
2.2734130004643556e-7 	 1.2627344985974198 	 1.2627344985974198 	 3.219636925753344e19
2.3050552563205234e-7 	 1.279602046577141 	 1.279602046577141 	 3.104217658845645e19
2.337137921532784e-7 	 1.2966949104686107 	 1.2966949104686107 	 2.9929360035633283e19
2.3696671258916877e-7 	 1.3140161000311703 	 1.3140161000311703 	 2.88564363259137e19
2.402649084504619e-7 	 1.3315686652283836 	 1.3315686652283836 	 2.7821975359316853e19
2.4360900989832704e-7 	 1.3493556967650848 	 1.3493556967650848 	 2.6824598302851056e19
2.4699965586476436e-7 	 1.3673803266315976 	 1.3673803266315976 	 2.5862975752667337e19
2.504374941746807e-7 	 1.3856457286552244 	 1.3856457286552244 	 2.4935825962097082e19
2.539231816696648e-7 	 1.4041551190591048 	 1.4041551190591048 	 2.404191313321193e19
2.574573843334846e-7 	 1.4229117570285337 	 1.4229117570285337 	 2.3180045769628807e19
2.610407774193322e-7 	 1.4419189452848513 	 1.4419189452848513 	 2.2349075088364327e19
2.6467404557883877e-7 	 1.461180030666993 	 1.461180030666993 	 2.154789348862213e19
2.6835788299288635e-7 	 1.4806984047208123 	 1.4806984047208123 	 2.077543307547164e19
