###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n integrals evaluated in the following comoving separations.
# Input Power Spectrum file: WideA_ZA_pk.dat
#
# The I_l^n are integrated over [1.0e-5, 1000.0] (the extremes
# `IPSTools` hands over to `xicalc`), and the sigma_i of the asymptotic
# limits must use the same ones:
#   sigma_-4 = 1.2699714253251158e13
#   sigma_-2 = 2.3467346052943926e7
#   sigma_0 = 143.28503956334472
#   sigma_2 = 101.12817125947123
#   sigma_4 = 1.4915596528577246e6
#
# For comparison, the sigma_i stored by `IPSTools` (over [1.0e-6, 10.0]):
#   sigma_0 = 18.584280735816282 	 sigma_2 = 101.06362200769537 	 sigma_4 = 2.074924034369007e6
#
# CAREFUL: outside [0.05, 96466.16199111959] (and [0.1, 9888.080416307215] for I04_tilde)
# these values are power-law extrapolations, NOT the integrals.
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I04_tilde
2.429303927577009e-6 	 1875.1371822404055 	 137.89716737494382 	 101.60304725657925 	 1.7452288443701025e13 	 137.06393701233608 	 33.541526815693594 	 5.72117342185346e12 	 656.3109991441189 	 -2.865764166091767e12
2.5075468810310512e-6 	 1852.440975750116 	 136.57977590664106 	 100.47991193027673 	 1.6379216244346717e13 	 135.4656820099569 	 33.20453422026615 	 5.3696792740578125e12 	 648.5742419437593 	 -2.6896850301405356e12
2.588309881357663e-6 	 1830.0182117793236 	 135.2748810675024 	 99.36918464659779 	 1.53721230109453e13 	 133.88597510758626 	 32.870912996830626 	 5.039780020670129e12 	 640.928251661689 	 -2.5244246009357183e12
2.6716740941565516e-6 	 1807.8655959091348 	 133.98236431589137 	 98.2707283254256 	 1.4426951957801625e13 	 132.3246010504535 	 32.54062941720052 	 4.730148927042289e12 	 633.371963428837 	 -2.369318152273199e12
2.7577232992068054e-6 	 1785.9798734116152 	 132.70210823464438 	 97.18440740106097 	 1.3539895734929908e13 	 130.7813470818669 	 32.213650090615936 	 4.43954076968309e12 	 625.9043248690768 	 -2.2237418002543994e12
2.8465439746643134e-6 	 1764.3578287715957 	 131.43399652040398 	 96.11008780549145 	 1.270738109123839e13 	 129.25600291422276 	 31.889941960367835 	 4.1667868284228516e12 	 618.5242959526616 	 -2.0871099938411636e12
2.938225383971006e-6 	 1742.9962852142385 	 130.17791397305345 	 95.04763695184556 	 1.1926054480714137e13 	 127.74836070035117 	 31.56947230045613 	 3.910790186246569e12 	 611.2308488513769 	 -1.958873159596733e12
3.0328596655632815e-6 	 1721.8921042382947 	 128.93374648525148 	 93.99692371802934 	 1.1192768553626506e13 	 126.2582150051942 	 31.252208712281135 	 3.670521317893134e12 	 604.022967795393 	 -1.8385154911392246e12
3.1305419254697203e-6 	 1701.0421851549931 	 127.70138103206659 	 92.95781843054435 	 1.0504569478333393e13 	 124.78536277781303 	 30.93811912136825 	 3.445013949479764e12 	 596.8996489317993 	 -1.7255528744162156e12
3.2313703328912494e-6 	 1680.443464632468 	 126.48070566070905 	 91.9301928484836 	 9.858685042618955e12 	 123.32960332371938 	 30.627171774125177 	 3.2333611725002627e12 	 589.859900184793 	 -1.6195309404551458e12
3.3354462188596872e-6 	 1660.0929162456916 	 125.27160948036085 	 90.91392014770497 	 9.25251348663354e12 	 121.89073827752853 	 30.319335234631847 	 3.0347117965693667e12 	 582.902741117513 	 -1.5200232377572866e12
3.4428741780739123e-6 	 1639.9875500318224 	 124.07398265210205 	 89.90887490517927 	 8.683613022451676e12 	 120.4685715759296 	 30.014578381462247 	 2.848266926245004e12 	 576.0272027954928 	 -1.426629516983985e12
3.5537621740159606e-6 	 1620.124412050908 	 122.88771637893245 	 88.91493308351109 	 8.149691998031114e12 	 119.06290943096951 	 29.71287040453819 	 2.673276748161782e12 	 569.2323276517151 	 -1.338974121035737e12
3.668221647452707e-6 	 1600.5005839518858 	 121.71270289588807 	 87.93197201563073 	 7.648599665951056e12 	 117.67356030364677 	 29.414180802014457 	 2.509037515554703e12 	 562.5171693532498 	 -1.2567044740484946e12
3.786367628432131e-6 	 1581.113182543813 	 120.54883546025162 	 86.95987038965556 	 7.178317519744317e12 	 116.3003348778123 	 29.118479377195207 	 2.3548887180460215e12 	 555.8807926694578 	 -1.1794896632295383e12
3.908318851886824e-6 	 1561.9593593722525 	 119.39600834185515 	 85.99850823391795 	 6.736951162923887e12 	 114.94304603437219 	 28.82573623548109 	 2.210210425312998e12 	 549.3222733417387 	 -1.1070191078285642e12
4.034197876960784e-6 	 1543.0363003007753 	 118.25411681347542 	 85.04776690215918 	 6.32272267795116e12 	 113.6015088257908 	 28.535921781347042 	 2.0744207939539634e12 	 542.8406979548081 	 -1.0390013098902921e12
4.164131210179517e-6 	 1524.341225097497 	 117.12305714131998 	 84.10752905888677 	 5.933963464406004e12 	 112.27554045088921 	 28.249006715350237 	 1.9469737275260503e12 	 536.4351638094851 	 -9.751626817636826e11
4.298249432587187e-6 	 1505.8713870265983 	 116.00272657560362 	 83.17767866489355 	 5.569107517509452e12 	 110.96496022993625 	 27.96496203116801 	 1.8273566803441924e12 	 530.1047787969723 	 -9.152464456516871e11
4.436687330978616e-6 	 1487.6240724447657 	 114.89302334121415 	 82.2581009629366 	 5.226685119923434e12 	 109.6695895800287 	 27.683759012665373 	 1.7150885962090361e12 	 523.8486612746093 	 -8.590116007751847e11
4.579584033357941e-6 	 1469.5966004024992 	 113.79384662846694 	 81.34868246357476 	 4.9053169214168955e12 	 108.38925199075723 	 27.405369230991955 	 1.6097179737741392e12 	 517.665939943087 	 -8.062319539967585e11
4.727083148760224e-6 	 1451.7863222502117 	 112.70509658394667 	 80.44931093116205 	 4.603708382549629e12 	 107.1237730001544 	 27.129764541707818 	 1.5108210507719446e12 	 511.55575372509753 	 -7.566952100051412e11
4.87933291157633e-6 	 1434.1906212490878 	 111.62667430143651 	 79.55987536999632 	 4.320644559992225e12 	 105.87298017092222 	 26.856917081938224 	 1.4180000997963071e12 	 505.5172516454131 	 -7.102021174008522e11
5.036486330526269e-6 	 1416.8069121866222 	 110.55848181293295 	 78.6802660106207 	 4.05498521247597e12 	 104.63670306693541 	 26.586799267556742 	 1.330881828787709e12 	 499.5495927123681 	 -6.66565667248279e11
5.19870134243066e-6 	 1399.632640996793 	 109.50042207974614 	 77.81037429627649 	 3.805660207658548e12 	 103.41477323001727 	 26.319383790396557 	 1.2491158797885476e12 	 493.65194580073296 	 -6.256103408705634e11
