###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n computed by direct quadrature (`I_direct`), and their ratio
# to the analytic small-s asymptote sigma_{n-l} s^{l-n} / (2l+1)!! .
# All the ratios must tend to 1 for s -> 0 .
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I00_ratio 	 I20_ratio 	 I40_ratio 	 I02_ratio 	 I22_ratio 	 I31_ratio 	 I13_ratio 	 I11_ratio
0.00019306977288832496 	 143.13939633644011 	 0.05823385449483853 	 1.865155084932566e-5 	 2.712961174739094e9 	 9.548173036711297 	 0.00832178657795539 	 9.043203947624257e8 	 47.73254339697848 	 0.9989835419849242 	 0.9985601881255562 	 0.9988393995842552 	 0.9999999913445049 	 0.9995641972611686 	 0.998880014046172 	 0.9999999948639741 	 0.9993899616270082
0.00023299518105153718 	 143.07302786144044 	 0.08475303639730793 	 3.9538059793670056e-5 	 1.862851649698633e9 	 9.54627470484034 	 0.012113224922443112 	 6.209505530816337e8 	 47.7192602992793 	 0.9985203500480554 	 0.9979037859959673 	 0.9983100839127388 	 0.9999999873305114 	 0.9993654676648956 	 0.9983693171584648 	 0.9999999924550569 	 0.999111849597874
0.0002811768697974231 	 142.97648148075316 	 0.12331180882095161 	 8.379356950085025e-5 	 1.2791249262049954e9 	 9.543511807944629 	 0.017627943198636052 	 4.263749785828329e8 	 47.69993109652441 	 0.9978465436201024 	 0.9969485961588563 	 0.9975396869714055 	 0.9999999814867311 	 0.9990762298382394 	 0.9976260485641018 	 0.9999999889476935 	 0.9987071485317935
0.000339322177189533 	 142.83610771900646 	 0.17933467194344602 	 0.00017752233357872264 	 8.783096457236491e8 	 9.539491745899866 	 0.025644599182432174 	 2.927698850877146e8 	 47.67181413031663 	 0.9968668617065232 	 0.9955591182283136 	 0.996418719107105 	 0.9999999729803677 	 0.9986553838737535 	 0.9965446163250768 	 0.999999983841565 	 0.9981184555399754
0.0004094915062380423 	 142.6321645118835 	 0.26064381248218366 	 0.00037590007118942336 	 6.030902963264908e8 	 9.533644927697358 	 0.03728853036476759 	 2.0103010195337608e8 	 47.630936108121794 	 0.9954435225516157 	 0.9935389672556605 	 0.9947883149839528 	 0.9999999606011442 	 0.9980433013192531 	 0.9949718474954184 	 0.9999999764091204 	 0.9972625806561897
0.0004941713361323833 	 142.33618840231665 	 0.3784669523847864 	 0.0007953662065095431 	 4.141112479479325e8 	 9.52514642322566 	 0.05418033122732796 	 1.3803708582435763e8 	 47.571551784900905 	 0.9933778769652459 	 0.9906041486991627 	 0.9924183591173237 	 0.9999999425916042 	 0.997153623182136 	 0.9926859501852332 	 0.9999999655930076 	 0.996019234036015
0.0005963623316594642 	 141.90733330163502 	 0.548810120431942 	 0.0016810818832845012 	 2.8434900266018826e8 	 9.512804548203922 	 0.07864160033074656 	 9.478300405766504e7 	 47.4853811406885 	 0.990384856186604 	 0.9863453120863794 	 0.9889763603569562 	 0.9999999164035466 	 0.9958615962832341 	 0.989366625238377 	 0.9999999498582307 	 0.9942150545248462
0.0007196856730011522 	 141.28738761677698 	 0.7942590316650383 	 0.0035474922563439814 	 1.952479068247354e8 	 9.494904248674857 	 0.11397236056019726 	 6.508263877321304e7 	 47.360548882814086 	 0.9860581959382815 	 0.9801752433707736 	 0.9839836602816361 	 0.999999878349328 	 0.9939876777376955 	 0.9845531150059592 	 0.9999999269793118 	 0.9916014057115122
0.000868511373751353 	 140.39424124627834 	 1.1461940288756345 	 0.007468781786258305 	 1.3406674230462259e8 	 9.468990812933912 	 0.16480897295169855 	 4.468891725787143e7 	 47.18014509171761 	 0.9798248419662235 	 0.9712575387671444 	 0.9767548791085134 	 0.9999998231075305 	 0.9912748925278877 	 0.977586406683533 	 0.9999998937364566 	 0.9878242397565825
0.0010481131341546852 	 139.11385540295936 	 1.6471832404585833 	 0.015671629695239216 	 9.205676638537966e7 	 9.431579382041782 	 0.2375506957362598 	 3.0685591938986573e7 	 46.9203462144725 	 0.9708889066639694 	 0.9584133837875038 	 0.9663164377854718 	 0.9999997430311042 	 0.9873584231945078 	 0.9675319197686577 	 0.9999998454850356 	 0.9823847560944324
0.0012648552168552957 	 137.2915618638301 	 2.3528038634472996 	 0.03272229107525733 	 6.321066499133236e7 	 9.37778227194765 	 0.3407894506460796 	 2.1070224789704975e7 	 46.548121909092266 	 0.9581709457052914 	 0.9400076185831223 	 0.9513017537544899 	 0.9999996271959598 	 0.9817265955182121 	 0.953081042758467 	 0.9999997755535046 	 0.974591388974294
0.0015264179671752333 	 134.72528263678817 	 3.3310683158905885 	 0.06783566800348857 	 4.34035228569606e7 	 9.300868272575611 	 0.4855577119848683 	 1.4467844052609788e7 	 46.018783650892836 	 0.9402606374493662 	 0.913826782684282 	 0.9298268602374182 	 0.9999994601291621 	 0.9736747431120121 	 0.9324364431187888 	 0.999999674417384 	 0.9635084819280476
